"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 02, 2014","210.46","210.56","210.61","210.46","1.28K","-0.10%"
"Apr 01, 2014","210.68","210.60","210.74","210.60","42.45K","-0.04%"
"Mar 31, 2014","210.77","210.88","210.88","210.77","0.32K","-0.04%"
"Mar 28, 2014","210.86","212.29","212.29","210.86","1.13K","-0.01%"
"Mar 27, 2014","210.89","210.89","210.89","210.89","-","0.19%"
"Mar 26, 2014","210.48","209.85","210.48","209.85","23.00K","0.21%"
"Mar 25, 2014","210.04","210.04","210.04","210.04","0.24K","0.09%"
"Mar 24, 2014","209.85","209.59","209.85","209.56","0.46K","0.13%"
"Mar 21, 2014","209.57","209.60","209.61","209.57","0.25K","0.09%"
"Mar 20, 2014","209.39","209.49","209.53","209.16","0.84K","-0.24%"
"Mar 19, 2014","209.90","210.17","210.24","209.90","0.53K","-0.13%"
"Mar 18, 2014","210.18","210.20","210.22","210.18","1.03K","0.05%"
"Mar 17, 2014","210.08","210.15","210.23","210.03","1.28K","0.02%"
"Mar 14, 2014","210.04","210.13","210.13","210.04","0.10K","0.03%"
"Mar 13, 2014","209.98","209.81","209.98","209.81","7.54K","0.14%"
"Mar 12, 2014","209.68","209.83","209.83","209.68","0.26K","0.11%"
"Mar 11, 2014","209.44","209.62","209.76","209.44","12.32K","-0.07%"
"Mar 10, 2014","209.58","209.28","209.58","209.28","0.16K","0.14%"
"Mar 07, 2014","209.28","209.38","209.44","209.15","7.88K","0.04%"
"Mar 06, 2014","209.19","209.68","209.68","209.19","5.01K","-0.31%"
"Mar 05, 2014","209.84","209.60","209.84","209.60","0.41K","0.17%"
"Mar 04, 2014","209.48","209.22","209.48","209.21","10.12K","0.01%"
"Mar 03, 2014","209.45","209.34","209.45","209.08","1.08K","0.28%"
"Feb 28, 2014","208.87","209.59","209.59","208.87","3.00K","-0.27%"
"Feb 27, 2014","209.44","209.30","209.44","209.30","0.00K","0.26%"
"Feb 26, 2014","208.90","208.79","208.90","208.79","0.05K","0.21%"
"Feb 25, 2014","208.47","208.37","208.47","208.37","0.45K","0.10%"
"Feb 24, 2014","208.27","208.52","208.55","208.19","2.14K","-0.05%"
"Feb 21, 2014","208.37","208.33","208.39","208.33","9.02K","0.18%"
"Feb 20, 2014","208.00","208.49","208.54","208.00","0.21K","-0.22%"
"Feb 19, 2014","208.46","208.64","208.71","208.46","10.92K","0.01%"
"Feb 18, 2014","208.43","208.20","208.43","208.20","2.53K","0.12%"
"Feb 17, 2014","208.17","207.85","208.17","207.85","47.95K","0.13%"
"Feb 14, 2014","207.89","207.71","208.01","207.71","55.29K","0.02%"
"Feb 13, 2014","207.84","207.49","207.84","207.49","0.09K","0.20%"
"Feb 12, 2014","207.42","207.77","207.78","207.33","1.93K","-0.14%"
"Feb 11, 2014","207.72","207.81","207.87","207.59","2.60K","-0.04%"
"Feb 10, 2014","207.80","208.10","208.10","207.80","0.65K","-0.10%"
"Feb 07, 2014","208.00","207.80","208.00","207.80","0.06K","0.24%"
"Feb 06, 2014","207.51","207.98","207.98","207.51","0.93K","-0.21%"
"Feb 05, 2014","207.95","207.98","208.01","207.81","17.96K","0.06%"
"Feb 04, 2014","207.82","207.80","207.82","207.80","0.06K","0.01%"
"Feb 03, 2014","207.80","207.92","207.92","207.73","12.46K","0.01%"
"Jan 31, 2014","207.77","207.20","207.77","207.20","11.04K","0.37%"
"Jan 30, 2014","207.01","206.83","207.01","206.83","0.12K","0.16%"
"Jan 29, 2014","206.67","206.67","206.67","206.67","-","0.09%"
"Jan 28, 2014","206.48","206.40","206.51","206.30","0.57K","0.12%"
"Jan 27, 2014","206.23","206.38","206.38","206.09","2.98K","-0.01%"
"Jan 24, 2014","206.26","206.18","206.26","206.18","7.16K","0.09%"
"Jan 23, 2014","206.08","206.10","206.15","205.92","0.29K","-0.00%"
"Jan 22, 2014","206.09","206.47","206.47","206.09","0.61K","-0.09%"
"Jan 21, 2014","206.27","206.49","206.49","206.27","2.24K","-0.08%"
"Jan 20, 2014","206.44","206.41","206.44","206.41","0.04K","0.18%"
"Jan 17, 2014","206.06","205.72","206.18","205.72","0.20K","0.14%"
"Jan 16, 2014","205.78","205.44","205.82","205.44","0.19K","0.19%"
"Jan 15, 2014","205.38","205.51","205.51","205.38","2.45K","-0.00%"
"Jan 14, 2014","205.39","205.56","205.56","205.39","10.67K","0.03%"
"Jan 13, 2014","205.32","205.17","205.34","205.15","0.35K","0.13%"
"Jan 10, 2014","205.05","204.72","205.05","204.72","0.18K","0.19%"
"Jan 09, 2014","204.66","204.78","204.83","204.62","0.73K","-0.05%"
"Jan 08, 2014","204.77","204.95","205.21","204.77","5.99K","-0.05%"
"Jan 07, 2014","204.88","204.76","204.98","204.69","1.02K","0.20%"
"Jan 06, 2014","204.48","204.69","204.69","204.48","0.22K","0.03%"
"Jan 03, 2014","204.42","204.42","204.42","204.39","32.24K","0.30%"
"Jan 02, 2014","203.80","203.29","203.99","203.29","4.84K","0.42%"
"Dec 30, 2013","202.95","202.79","203.06","202.79","0.64K","0.11%"
"Dec 27, 2013","202.73","202.98","202.98","202.73","21.16K","-0.29%"
"Dec 23, 2013","203.31","203.49","203.49","203.17","19.72K","-0.11%"
"Dec 20, 2013","203.53","203.78","203.78","203.53","0.02K","-0.13%"
"Dec 19, 2013","203.79","203.79","203.79","203.79","0.03K","0.03%"
"Dec 18, 2013","203.73","203.88","204.13","203.73","0.89K","-0.14%"
"Dec 17, 2013","204.02","204.09","204.14","204.02","0.81K","0.04%"
"Dec 16, 2013","203.93","204.20","204.20","203.93","1.69K","0.00%"
"Dec 13, 2013","203.92","203.91","203.92","203.83","0.58K","0.04%"
"Dec 12, 2013","203.83","203.98","203.98","203.83","0.44K","-0.25%"
"Dec 11, 2013","204.35","204.85","204.85","204.30","3.06K","0.11%"
"Dec 10, 2013","204.13","203.93","204.19","203.93","0.45K","0.19%"
"Dec 09, 2013","203.74","203.60","203.77","203.54","3.71K","0.14%"
"Dec 06, 2013","203.45","203.26","203.51","203.20","0.49K","0.11%"
"Dec 05, 2013","203.23","204.05","204.05","203.23","0.08K","-0.31%"
"Dec 04, 2013","203.86","205.17","205.17","203.86","0.14K","-0.36%"
"Dec 03, 2013","204.60","204.54","204.72","204.45","3.43K","0.01%"
"Dec 02, 2013","204.57","204.84","204.84","204.57","0.60K","-0.11%"
"Nov 29, 2013","204.79","204.79","204.79","204.79","-","-0.00%"
"Nov 28, 2013","204.80","204.90","204.90","204.64","2.02K","-0.05%"
"Nov 27, 2013","204.90","205.09","205.13","204.84","5.58K","-0.06%"
"Nov 26, 2013","205.02","205.02","205.02","205.02","-","0.16%"
"Nov 25, 2013","204.69","204.78","204.82","204.69","0.81K","0.08%"
"Nov 22, 2013","204.52","204.54","204.55","204.47","0.33K","0.03%"
"Nov 21, 2013","204.45","204.19","204.45","204.19","0.41K","0.01%"
"Nov 20, 2013","204.43","204.35","204.43","204.15","0.97K","0.04%"
"Nov 19, 2013","204.35","204.65","204.65","204.35","7.11K","-0.11%"
"Nov 18, 2013","204.58","204.35","204.58","204.29","0.09K","0.14%"
"Nov 15, 2013","204.29","205.15","205.15","204.21","0.44K","-0.06%"
"Nov 14, 2013","204.42","204.31","204.42","204.31","0.68K","0.22%"
"Nov 13, 2013","203.97","203.53","203.97","203.53","0.78K","0.21%"
"Nov 12, 2013","203.54","203.39","203.54","203.39","0.41K","-0.09%"
"Nov 11, 2013","203.73","203.64","203.99","203.64","3.34K","0.04%"
"Nov 08, 2013","203.64","203.95","203.95","203.64","0.02K","-0.21%"
"Nov 07, 2013","204.06","204.06","204.06","204.06","0.05K","0.44%"
"Nov 06, 2013","203.16","203.22","203.51","203.16","0.29K","-0.03%"
"Nov 05, 2013","203.22","203.95","203.95","203.19","16.34K","-0.40%"
"Nov 04, 2013","204.04","204.10","204.10","204.04","0.78K","0.09%"
"Nov 01, 2013","203.86","203.92","203.98","203.86","11.89K","0.13%"
"Oct 31, 2013","203.60","203.55","203.60","203.37","3.04K","0.29%"
"Oct 30, 2013","203.02","203.00","203.12","203.00","0.38K","0.05%"
"Oct 29, 2013","202.92","202.83","202.92","202.82","7.18K","0.16%"
"Oct 28, 2013","202.59","202.54","202.59","202.25","0.28K","0.09%"
"Oct 25, 2013","202.40","202.40","202.54","202.40","3.10K","-0.11%"
"Oct 24, 2013","202.62","202.82","202.82","202.43","0.89K","-0.07%"
"Oct 23, 2013","202.77","202.76","202.90","202.76","0.34K","0.12%"
"Oct 22, 2013","202.53","201.78","202.53","201.78","0.89K","0.32%"
"Oct 21, 2013","201.89","201.98","201.99","201.77","0.28K","0.01%"
"Oct 18, 2013","201.86","201.74","201.95","201.68","0.33K","0.20%"
"Oct 17, 2013","201.45","201.37","201.58","201.18","1.27K","0.29%"
"Oct 16, 2013","200.86","200.83","201.09","200.83","0.66K","-0.06%"
"Oct 15, 2013","200.98","201.15","201.15","200.89","0.43K","-0.12%"
"Oct 14, 2013","201.22","201.24","201.25","201.15","0.29K","0.10%"
"Oct 11, 2013","201.02","201.02","201.14","200.80","0.58K","0.18%"
"Oct 10, 2013","200.66","200.91","200.95","200.66","1.28K","-0.10%"
"Oct 09, 2013","200.87","200.70","200.90","200.70","0.30K","-0.03%"
"Oct 08, 2013","200.93","201.22","201.22","200.79","0.86K","-0.19%"
"Oct 07, 2013","201.32","201.28","201.32","201.25","0.17K","0.22%"
"Oct 04, 2013","200.87","201.02","201.02","200.87","0.14K","0.03%"
"Oct 03, 2013","200.80","200.89","200.89","200.74","0.42K","-0.07%"
"Oct 02, 2013","200.94","200.88","201.12","200.80","1.07K","0.07%"
"Oct 01, 2013","200.79","200.56","200.79","200.39","0.18K","0.15%"
"Sep 30, 2013","200.49","200.25","200.49","200.19","0.39K","0.11%"
"Sep 27, 2013","200.27","200.26","200.38","200.00","0.64K","0.02%"
"Sep 26, 2013","200.23","200.51","200.51","200.23","0.56K","-0.22%"
"Sep 25, 2013","200.68","201.50","201.50","200.30","1.43K","0.01%"
"Sep 24, 2013","200.66","200.17","200.71","200.17","12.64K","0.24%"
"Sep 23, 2013","200.17","199.98","200.36","199.79","3.31K","0.22%"
"Sep 20, 2013","199.74","200.11","200.11","199.41","0.86K","0.03%"
"Sep 19, 2013","199.69","200.26","200.26","199.69","0.20K","0.44%"
"Sep 18, 2013","198.82","198.88","199.26","198.82","1.15K","-0.07%"
"Sep 17, 2013","198.96","199.02","199.10","198.74","4.60K","0.05%"
"Sep 16, 2013","198.86","198.64","198.99","198.64","0.34K","0.37%"
"Sep 13, 2013","198.13","198.13","198.13","198.13","0.03K","-0.02%"
"Sep 12, 2013","198.17","198.26","198.90","198.15","0.79K","0.15%"
"Sep 11, 2013","197.88","197.86","198.00","197.47","23.31K","0.13%"
"Sep 10, 2013","197.63","197.78","197.78","197.35","0.70K","-0.17%"
"Sep 09, 2013","197.97","198.00","198.09","197.97","0.28K","-0.01%"
"Sep 06, 2013","197.99","197.55","198.17","197.55","0.71K","0.38%"
"Sep 05, 2013","197.24","198.09","198.09","197.24","1.97K","-0.51%"
"Sep 04, 2013","198.25","198.50","198.50","198.09","0.09K","-0.04%"
"Sep 03, 2013","198.33","198.81","198.81","198.33","0.29K","-0.16%"
"Sep 02, 2013","198.64","198.40","198.65","198.40","0.34K","0.08%"
"Aug 30, 2013","198.49","198.43","198.62","198.42","0.53K","-0.02%"
"Aug 29, 2013","198.52","198.50","198.54","198.40","24.65K","0.09%"
"Aug 28, 2013","198.35","198.54","198.57","198.35","0.85K","-0.02%"
"Aug 27, 2013","198.38","198.46","198.64","198.38","1.31K","-0.13%"
"Aug 26, 2013","198.64","197.00","198.64","195.50","4.62K","0.13%"
"Aug 23, 2013","198.39","198.68","198.68","198.39","0.67K","-0.07%"
"Aug 22, 2013","198.52","198.19","198.67","198.14","0.73K","-0.07%"
"Aug 21, 2013","198.66","199.12","199.12","198.66","8.72K","-0.18%"
"Aug 20, 2013","199.01","199.21","199.21","199.01","0.12K","0.01%"
"Aug 19, 2013","198.99","199.41","199.41","198.99","0.24K","-0.26%"
"Aug 16, 2013","199.50","199.55","199.56","199.50","0.35K","0.16%"
"Aug 15, 2013","199.18","199.95","199.95","199.14","3.13K","-0.33%"
"Aug 14, 2013","199.84","199.62","199.84","199.62","0.05K","0.13%"
"Aug 13, 2013","199.58","200.11","200.11","199.58","0.02K","-0.43%"
"Aug 12, 2013","200.44","200.22","200.44","200.18","5.27K","0.11%"
"Aug 09, 2013","200.22","200.30","200.36","200.22","0.02K","0.02%"
"Aug 08, 2013","200.18","200.37","200.37","200.18","0.13K","0.11%"
"Aug 07, 2013","199.96","200.25","200.25","199.93","0.20K","0.01%"
"Aug 06, 2013","199.95","199.83","200.24","199.83","0.03K","0.06%"
"Aug 05, 2013","199.84","200.49","200.49","199.84","0.21K","-0.20%"
"Aug 02, 2013","200.24","199.69","200.24","199.49","17.91K","0.38%"
"Aug 01, 2013","199.48","200.15","200.15","199.43","90.83K","0.01%"
