Date,S&P 500,DD,<10,Shade
1978-12-12,96.58999633789062,-19.668996961122765,1,Same
1978-12-13,96.05999755859375,-20.109781050205466,1,Same
1978-12-14,96.04000091552734,-20.126411658506925,1,Same
1978-12-15,95.33000183105469,-20.716896602857204,1,Same
1978-12-18,93.44000244140625,-22.288752410597468,1,Same
1978-12-19,94.23999786376953,-21.623420211182708,1,Same
1978-12-20,94.68000030517578,-21.257483377164498,1,Same
1978-12-21,94.70999908447266,-21.232534292143,1,Same
1978-12-22,96.30999755859375,-19.90186354817486,1,Same
1978-12-26,97.5199966430664,-18.895543599763375,1,Same
1978-12-27,96.66000366210938,-19.61077396922113,1,Same
1978-12-28,96.27999877929688,-19.926812633196356,1,Same
1978-12-29,96.11000061035156,-20.068195011743896,1,Same
1979-01-02,96.7300033569336,-19.552557322458107,1,Same
1979-01-03,97.80000305175781,-18.662670667572666,1,Same
1979-01-04,98.58000183105469,-18.013969076459368,1,Same
1979-01-05,99.12999725341797,-17.556554379075205,1,Same
1979-01-08,98.80000305175781,-17.831000659450257,1,Same
1979-01-09,99.33000183105469,-17.390216570367556,1,Same
1979-01-10,98.7699966430664,-17.85595608961036,1,Same
1979-01-11,99.0999984741211,-17.581503464096706,1,Same
1979-01-12,99.93000030517578,-16.891215834521834,1,Same
1979-01-15,100.69000244140625,-16.259144851709983,1,Same
1979-01-16,99.45999908447266,-17.28210175356154,1,Same
1979-01-17,99.4800033569336,-17.265464800121467,1,Same
1979-01-18,99.72000122070312,-17.065865774810906,1,Same
1979-01-19,99.75,-17.04091668978941,1,Same
1979-01-22,99.9000015258789,-16.91616491954333,1,Same
1979-01-23,100.5999984741211,-16.33399845191308,1,Same
1979-01-24,100.16000366210938,-16.699928940792685,1,Same
1979-01-25,101.19000244140625,-15.84330984764878,1,Same
1979-01-26,101.86000061035156,-15.286092465040035,1,Same
1979-01-29,101.55000305175781,-15.543908137113627,1,Same
1979-01-30,101.05000305175781,-15.959743141174831,1,Same
1979-01-31,99.93000030517578,-16.891215834521834,1,Same
1979-02-01,99.95999908447266,-16.866266749500337,1,Same
1979-02-02,99.5,-17.248834191820016,1,Same
1979-02-05,98.08999633789062,-18.42149194893915,1,Same
1979-02-06,98.05000305175781,-18.45475316554206,1,Same
1979-02-07,97.16000366210938,-19.194938965159924,1,Same
1979-02-08,97.6500015258789,-18.78742243781876,1,Same
1979-02-09,97.87000274658203,-18.604454020809648,1,Same
1979-02-12,98.19999694824219,-18.330007740434596,1,Same
1979-02-13,98.93000030517578,-17.722885842644242,1,Same
1979-02-14,98.87000274658203,-17.772784012687225,1,Same
1979-02-15,98.7300033569336,-17.88921730621328,1,Same
1979-02-16,98.66999816894531,-17.939121821394878,1,Same
1979-02-20,99.41999816894531,-17.315369315303077,1,Same
1979-02-21,99.06999969482422,-17.60645254911819,1,Same
1979-02-22,98.33000183105469,-18.221886578489965,1,Same
1979-02-23,97.77999877929688,-18.679307621012743,1,Same
1979-02-26,97.66999816894531,-18.770791829517297,1,Same
1979-02-27,96.12999725341797,-20.051564403442445,1,Same
1979-02-28,96.27999877929688,-19.926812633196356,1,Same
1979-03-01,96.9000015258789,-19.41117494391056,1,Same
1979-03-02,96.97000122070312,-19.352958297147538,1,Same
1979-03-05,98.05999755859375,-18.446441033960635,1,Same
1979-03-06,97.87000274658203,-18.604454020809648,1,Same
1979-03-07,98.44000244140625,-18.13040236998541,1,Same
1979-03-08,99.58000183105469,-17.18229906833695,1,Same
1979-03-09,99.54000091552734,-17.215566630078484,1,Same
1979-03-12,99.66999816894531,-17.10745181327247,1,Same
1979-03-13,99.83999633789062,-16.96606943472493,1,Same
1979-03-14,99.70999908447266,-17.074184251530944,1,Same
1979-03-15,99.86000061035156,-16.949432481284855,1,Same
1979-03-16,100.69000244140625,-16.259144851709983,1,Same
1979-03-19,101.05999755859375,-15.951431009593408,1,Same
1979-03-20,100.5,-16.417164183697597,1,Same
1979-03-21,101.25,-15.793411677605796,1,Same
1979-03-22,101.66999816894531,-15.444111797027649,1,Same
1979-03-23,101.5999984741211,-15.50232844379067,1,Same
1979-03-26,101.04000091552734,-15.968061617894868,1,Same
1979-03-27,102.4800033569336,-14.770454775754239,1,Same
1979-03-28,102.12000274658203,-15.06985648628939,1,Same
1979-03-29,102.02999877929688,-15.144710086492486,1,Same
1979-03-30,101.58999633789062,-15.510646920510707,1,Same
1979-04-02,100.9000015258789,-16.08449491142091,1,Same
