,Portfolio
2012-09-13,133.71
2012-09-14,133.52
2012-09-15,133.52
2012-09-16,133.52
2012-09-17,133.23
2012-09-18,133.57
2012-09-19,133.9
2012-09-20,134.39
2012-09-21,134.34
2012-09-22,134.34
2012-09-23,134.34
2012-09-24,134.44
2012-09-25,134.22
2012-09-26,133.82
2012-09-27,134.23
2012-09-28,134.05
2012-09-29,134.05
2012-09-30,134.05
2012-10-01,134.3
2012-10-02,134.18
2012-10-03,134.49
2012-10-04,134.59
2012-10-05,134.58
2012-10-06,134.58
2012-10-07,134.58
2012-10-08,134.66
2012-10-09,134.36
2012-10-10,134.03
2012-10-11,134.03
2012-10-12,133.88
2012-10-13,133.88
2012-10-14,133.88
2012-10-15,134.26
2012-10-16,134.33
2012-10-17,134.41
2012-10-18,134.45
2012-10-19,134.12
2012-10-20,134.12
2012-10-21,134.12
2012-10-22,133.81
2012-10-23,133.42
2012-10-24,133.58
2012-10-25,133.53
2012-10-26,133.6
2012-10-27,133.6
2012-10-28,133.6
2012-10-29,133.72
2012-10-30,133.64
2012-10-31,133.49
2012-11-01,133.86
2012-11-02,134.59
2012-11-03,134.59
2012-11-04,134.59
2012-11-05,134.84
2012-11-06,135.03
2012-11-07,134.61
2012-11-08,134.38
2012-11-09,134.31
2012-11-10,134.31
2012-11-11,134.31
2012-11-12,134.13
2012-11-13,134.13
2012-11-14,133.23
2012-11-15,132.57
2012-11-16,132.98
2012-11-17,132.98
2012-11-18,132.98
2012-11-19,133.86
2012-11-20,134.06
2012-11-21,134.19
2012-11-22,134.21
2012-11-23,134.43
2012-11-24,134.43
2012-11-25,134.43
2012-11-26,134.41
2012-11-27,134.76
2012-11-28,135.08
2012-11-29,135.31
2012-11-30,135.3
2012-12-01,135.3
2012-12-02,135.3
2012-12-03,135.13
2012-12-04,134.97
2012-12-05,134.85
2012-12-06,135.45
2012-12-07,135.83
2012-12-08,135.83
2012-12-09,135.83
2012-12-10,135.9
2012-12-11,135.9
2012-12-12,135.75
2012-12-13,135.41
2012-12-14,135.21
2012-12-15,135.21
2012-12-16,135.21
2012-12-17,135.24
2012-12-18,135.75
2012-12-19,135.62
2012-12-20,135.76
2012-12-21,135.77
2012-12-22,135.77
2012-12-23,135.77
2012-12-24,135.75
2012-12-25,135.75
2012-12-26,135.51
2012-12-27,134.87
2012-12-28,134.97
2012-12-29,134.97
2012-12-30,134.97
2012-12-31,135.37
2013-01-01,135.37
2013-01-02,136.82
2013-01-03,137.53
2013-01-04,138.03
2013-01-05,138.03
2013-01-06,138.03
2013-01-07,137.85
2013-01-08,137.81
2013-01-09,138.33
2013-01-10,137.83
2013-01-11,137.39
2013-01-12,137.39
2013-01-13,137.39
2013-01-14,137.45
2013-01-15,137.71
2013-01-16,137.9
2013-01-17,137.92
2013-01-18,138.2
2013-01-19,138.2
2013-01-20,138.2
2013-01-21,138.25
2013-01-22,138.35
2013-01-23,138.33
2013-01-24,138.39
2013-01-25,137.96
2013-01-26,137.96
2013-01-27,137.96
2013-01-28,137.89
2013-01-29,138.02
2013-01-30,137.49
2013-01-31,137.35
2013-02-01,137.65
2013-02-02,137.65
2013-02-03,137.65
2013-02-04,137.55
2013-02-05,137.62
2013-02-06,137.98
2013-02-07,138.3
2013-02-08,138.89
2013-02-09,138.89
2013-02-10,138.89
2013-02-11,138.67
2013-02-12,138.68
2013-02-13,138.65
2013-02-14,139.4
2013-02-15,139.41
2013-02-16,139.41
2013-02-17,139.41
2013-02-18,139.32
2013-02-19,139.82
2013-02-20,139.68
2013-02-21,139.67
2013-02-22,140.25
2013-02-23,140.25
2013-02-24,140.25
2013-02-25,139.57
2013-02-26,139.81
2013-02-27,140.34
2013-02-28,140.86
2013-03-01,141.53
2013-03-02,141.53
2013-03-03,141.53
2013-03-04,141.71
2013-03-05,142.35
2013-03-06,142.63
2013-03-07,142.16
2013-03-08,143.07
2013-03-09,143.07
2013-03-10,143.07
2013-03-11,143.16
2013-03-12,142.99
2013-03-13,143.47
2013-03-14,143.72
2013-03-15,143.53
2013-03-16,143.53
2013-03-17,143.53
2013-03-18,143.65
2013-03-19,143.73
2013-03-20,143.9
2013-03-21,143.79
2013-03-22,143.64
2013-03-23,143.64
2013-03-24,143.64
2013-03-25,144.21
2013-03-26,144.5
2013-03-27,145.09
2013-03-28,145.28
2013-03-29,145.32
2013-03-30,145.32
2013-03-31,145.32
2013-04-01,145.07
2013-04-02,144.92
2013-04-03,144.42
