"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 11, 2017","104.74","104.75","104.77","104.75","0.15K","0.25%"
"Sep 08, 2017","104.48","104.42","104.42","104.42","0.20K","-0.20%"
"Sep 07, 2017","104.69","104.79","104.89","104.79","0.18K","-0.51%"
"Sep 06, 2017","105.23","105.30","105.30","105.30","0.12K","-0.18%"
"Sep 05, 2017","105.42","105.25","105.54","105.25","0.34K","0.23%"
"Sep 04, 2017","105.18","105.23","105.32","105.23","0.09K","-0.30%"
"Sep 01, 2017","105.50","105.48","105.50","105.17","0.20K","0.00%"
"Aug 31, 2017","105.50","105.56","105.75","105.56","0.43K","0.26%"
"Aug 30, 2017","105.23","104.72","105.28","104.72","0.04K","0.92%"
"Aug 29, 2017","104.27","104.33","104.33","104.24","0.27K","-0.24%"
"Aug 28, 2017","104.52","104.76","104.87","104.75","0.42K","-0.74%"
"Aug 25, 2017","105.30","106.03","106.03","105.35","0.76K","-0.59%"
"Aug 24, 2017","105.93","106.09","106.09","105.93","0.14K","0.06%"
"Aug 23, 2017","105.87","106.16","106.16","105.89","0.13K","-0.27%"
"Aug 22, 2017","106.16","106.18","106.27","106.18","0.14K","0.36%"
"Aug 21, 2017","105.78","106.54","106.54","106.11","0.12K","-0.69%"
"Aug 18, 2017","106.51","106.48","106.56","106.48","0.17K","0.17%"
"Aug 17, 2017","106.33","106.60","106.60","106.54","0.15K","-0.14%"
"Aug 16, 2017","106.48","106.20","106.60","106.20","2.30K","0.41%"
"Aug 14, 2017","106.04","105.84","105.88","105.82","0.25K","0.06%"
"Aug 11, 2017","105.98","106.21","106.30","105.96","0.44K","-0.22%"
"Aug 10, 2017","106.21","106.34","106.34","106.34","0.06K","-0.08%"
"Aug 09, 2017","106.30","106.34","106.58","106.17","1.73K","0.25%"
"Aug 08, 2017","106.04","105.50","106.05","105.48","0.73K","0.36%"
"Aug 07, 2017","105.66","105.56","105.67","105.52","0.74K","-0.22%"
"Aug 04, 2017","105.89","105.19","105.25","105.15","0.30K","0.95%"
"Aug 03, 2017","104.89","104.99","105.05","104.95","0.33K","-0.10%"
"Aug 02, 2017","104.99","105.23","105.31","105.12","0.63K","-0.55%"
"Aug 01, 2017","105.57","105.26","105.26","105.21","0.13K","-0.01%"
"Jul 31, 2017","105.58","106.00","106.00","105.94","0.15K","-0.26%"
"Jul 28, 2017","105.85","106.21","106.21","106.07","0.07K","-0.64%"
"Jul 27, 2017","106.53","106.04","106.46","106.04","0.11K","-0.14%"
"Jul 26, 2017","106.68","106.85","106.85","106.64","0.12K","0.17%"
"Jul 25, 2017","106.50","106.78","106.78","106.26","0.93K","-0.36%"
"Jul 24, 2017","106.88","106.95","107.00","106.95","0.14K","0.01%"
"Jul 21, 2017","106.87","107.01","107.01","107.01","0.09K","-0.01%"
"Jul 20, 2017","106.88","108.11","108.11","107.73","0.07K","-1.00%"
"Jul 19, 2017","107.96","107.30","107.89","107.30","0.11K","0.47%"
