Date,Close,CBR
2012-06-21,1325.51,267.16
2012-06-22,1335.02,267.97
2012-06-25,1313.72,270.9
2012-06-26,1319.99,272.76
2012-06-27,1331.85,275.2
2012-06-28,1329.04,271.81
2012-06-29,1362.16,284.19
2012-07-02,1365.51,284.21
2012-07-03,1374.02,292.65
2012-07-05,1367.58,293.26
2012-07-06,1354.68,286.92
2012-07-09,1352.46,292.7
2012-07-10,1341.47,288.65
2012-07-11,1341.45,290.79
2012-07-12,1334.76,290.27
2012-07-13,1356.78,293.96
2012-07-16,1353.64,295.98
2012-07-17,1363.67,295.64
2012-07-18,1372.78,299.09
2012-07-19,1376.51,304.97
2012-07-20,1362.66,304.57
2012-07-23,1350.52,298.88
2012-07-24,1338.31,296.37
2012-07-25,1337.89,297.24
2012-07-26,1360.02,297.47
2012-07-27,1385.97,299.6
2012-07-30,1385.3,302.5
2012-07-31,1379.32,299.51
2012-08-01,1375.32,299.23
2012-08-02,1365.0,294.5
2012-08-03,1390.99,300.69
2012-08-06,1394.23,301.75
2012-08-07,1401.35,303.87
2012-08-08,1402.22,304.32
2012-08-09,1402.8,304.81
2012-08-10,1405.87,301.81
2012-08-13,1404.11,299.0
2012-08-14,1403.93,300.32
2012-08-15,1405.53,301.71
2012-08-16,1415.51,302.39
2012-08-17,1418.16,303.48
2012-08-20,1418.13,304.76
2012-08-21,1413.17,307.63
2012-08-22,1413.49,308.02
2012-08-23,1402.08,307.24
2012-08-24,1411.13,306.04
2012-08-27,1410.44,305.89
2012-08-28,1409.3,306.91
2012-08-29,1410.49,307.12
2012-08-30,1399.48,306.51
2012-08-31,1406.58,309.59
2012-09-04,1404.94,308.81
2012-09-05,1403.44,308.28
2012-09-06,1432.12,308.89
2012-09-07,1437.92,311.67
2012-09-10,1429.08,313.24
2012-09-11,1433.56,314.9
2012-09-12,1436.56,315.7
2012-09-13,1459.99,317.45
2012-09-14,1465.77,320.93
2012-09-17,1461.19,314.46
2012-09-18,1459.32,311.56
2012-09-19,1461.05,308.41
2012-09-20,1460.26,306.93
2012-09-21,1460.15,308.98
2012-09-24,1456.89,305.93
2012-09-25,1441.59,306.71
2012-09-26,1433.32,303.74
2012-09-27,1447.15,307.33
2012-09-28,1440.67,309.3
2012-10-01,1444.49,311.26
2012-10-02,1445.75,311.49
2012-10-03,1450.99,306.58
2012-10-04,1461.4,310.45
2012-10-05,1460.93,307.62
2012-10-08,1455.88,306.17
2012-10-09,1441.48,309.13
2012-10-10,1432.56,307.01
2012-10-11,1432.84,308.87
2012-10-12,1428.59,306.55
2012-10-15,1440.13,304.55
2012-10-16,1454.92,306.2
2012-10-17,1460.91,307.81
2012-10-18,1457.34,308.75
2012-10-19,1433.19,306.05
2012-10-22,1433.82,303.51
2012-10-23,1413.11,299.88
2012-10-24,1408.75,297.69
2012-10-25,1412.97,297.74
2012-10-26,1411.94,296.84
2012-10-29,,295.76
2012-10-30,,295.23
2012-10-31,1412.16,295.85
2012-11-01,1427.59,296.89
2012-11-02,1414.2,292.29
2012-11-05,1417.26,292.31
2012-11-06,1428.39,297.17
2012-11-07,1394.53,291.49
2012-11-08,1377.51,291.87
2012-11-09,1379.85,292.22
2012-11-12,1380.03,292.15
2012-11-13,1374.53,292.16
2012-11-14,1355.49,293.93
2012-11-15,1353.33,292.84
2012-11-16,1359.88,293.57
2012-11-19,1386.89,298.35
2012-11-20,1387.81,296.51
2012-11-21,1391.03,297.59
2012-11-23,1409.15,299.07
2012-11-26,1406.29,297.74
